PC: 54	Inst: BGE 1     	Regs: [8, 0, 2, 0]	Q: 1
PC: 56	Inst: MOV $2 Q	Regs: [8, 0, 2, 0]	Q: 1
PC: 57	Inst: ADD $3 Q	Regs: [8, 0, 2, 0]	Q: 2
PC: 58	Inst: MOV $2 F  	Regs: [8, 0, 2, 0]	Q: 2
PC: 59	Inst: SW $0 6   	Regs: [8, 0, 2, 0]	Q: 2
PC: 60	Inst: MOV $1 Q	Regs: [8, 0, 2, 0]	Q: 2
PC: 61	Inst: SW $0 5   	Regs: [8, 0, 2, 0]	Q: 0
PC: 62	Inst: 	Regs: [8, 0, 2, 0]	Q: 0
PC: 63	Inst: CLR $3 F	Regs: [8, 0, 2, 0]	Q: 0
PC: 64	Inst: LW $0 1	Regs: [8, 0, 2, 0]	Q: 0
PC: 65	Inst: CMP $2	Regs: [8, 0, 2, 0]	Q: 7
PC: 66	Inst: BGE 1	Regs: [8, 0, 2, 0]	Q: 7
PC: 67	Inst: INC $3 F	Regs: [8, 0, 2, 0]	Q: 7
PC: 68	Inst: SUB $2 F	Regs: [8, 0, 2, 1]	Q: 7
PC: 69	Inst: LW $0 0	Regs: [8, 0, 251, 1]	Q: 7
PC: 70	Inst: ADD $3 Q	Regs: [8, 0, 251, 1]	Q: 0
PC: 71	Inst: CLR $3 F	Regs: [8, 0, 251, 1]	Q: 1
PC: 72	Inst: CMP $1	Regs: [8, 0, 251, 0]	Q: 1
PC: 73	Inst: BGE 1	Regs: [8, 0, 251, 0]	Q: 1
PC: 74	Inst: INC $3 F	Regs: [8, 0, 251, 0]	Q: 1
PC: 75	Inst: SUB $1 F	Regs: [8, 0, 251, 1]	Q: 1
PC: 76	Inst: 	Regs: [8, 255, 251, 1]	Q: 1
PC: 77	Inst: CLR $3 Q  	Regs: [8, 255, 251, 1]	Q: 1
PC: 78	Inst: CMP $3	Regs: [8, 255, 251, 1]	Q: 0
PC: 79	Inst: BNE 4     	Regs: [8, 255, 251, 1]	Q: 0
